pub_year,doc_type_major,n_docs,n_pos,prevalence,prev_lo95,prev_hi95
2010,Case Report,14856,9,0.0006058158319870759,0.00031876298496017787,0.0011510682296742953
2010,Clinical Trial,13766,17,0.00123492663082958,0.0007712015164944267,0.001976938971096563
2010,Comment/Reply,1406,4,0.002844950213371266,0.0011068847215174996,0.007292257427841115
2010,Conference,142,0,0.0,0.0,0.02633996431300811
2010,Editorial,534,0,0.0,0.0,0.0071423627868278435
2010,Guideline,181,0,0.0,0.0,0.02078245240652716
2010,Letter/Correspondence,1100,1,0.0009090909090909091,0.0001604948972078208,0.005131441525378569
2010,Meta-analysis,743,0,0.0,0.0,0.005143606819525005
2010,Other/Unclear,381,2,0.005249343832020997,0.0014407417699965827,0.018935074403041124
2010,Research Article,319707,186,0.0005817826947799078,0.0005039842302251213,0.0006715825948026224
2010,Retraction,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
2010,Review,34606,51,0.0014737328786915563,0.0011211503933129924,0.001936981466280351
2011,Case Report,20277,8,0.0003945356808206342,0.00019993413222101644,0.000778400956142121
2011,Clinical Trial,19913,23,0.0011550243559483755,0.000769808702838194,0.0017326693594461515
2011,Comment/Reply,1856,14,0.007543103448275862,0.004498588139428267,0.012621935048007538
2011,Conference,222,0,0.0,1.734723475976807e-18,0.017009537756059373
2011,Editorial,632,4,0.006329113924050633,0.002463940614576687,0.016159347716852155
2011,Guideline,239,0,0.0,0.0,0.01581879321327306
2011,Letter/Correspondence,1065,1,0.0009389671361502347,0.0001657699895192175,0.005299454784919545
2011,Meta-analysis,1333,1,0.0007501875468867217,0.0001324387995258699,0.004237158494267829
2011,Other/Unclear,424,1,0.0023584905660377358,0.000416452888208612,0.013236872894653978
2011,Research Article,418892,245,0.0005848762926959694,0.0005160980509678973,0.0006628142464205716
2011,Retraction,13,0,0.0,0.0,0.22809537235419838
2011,Review,44591,63,0.0014128411562871431,0.0011045399531720273,0.0018070402783798888
2012,Case Report,21641,9,0.0004158772699967654,0.0002188159474179385,0.0007902678503196192
2012,Clinical Trial,22939,12,0.0005231265530319543,0.0002992858941033338,0.0009142280845669103
2012,Comment/Reply,2360,6,0.002542372881355932,0.0011656971006464936,0.005535877051706909
2012,Conference,208,0,0.0,0.0,0.018133649768460082
2012,Editorial,731,5,0.006839945280437756,0.0029250510665693383,0.015910928660142744
2012,Guideline,333,0,0.0,-8.673617379884035e-19,0.011404352760326315
2012,Letter/Correspondence,995,2,0.0020100502512562816,0.0005514014575290298,0.007299152553266968
2012,Meta-analysis,1729,2,0.001156737998843262,0.0003172766178956511,0.004207926066272999
2012,Other/Unclear,513,4,0.007797270955165692,0.003036263763751131,0.019874937763528513
2012,Research Article,450922,281,0.0006231676431844088,0.0005544589564491567,0.0007003847601808374
2012,Retraction,29,0,0.0,0.0,0.11696979849974075
2012,Review,49951,72,0.001441412584332646,0.0011448589541496056,0.001814643158224515
2013,Case Report,23349,14,0.0005995974131654461,0.0003572149562555966,0.0010062790269858802
2013,Clinical Trial,25844,24,0.0009286488159727596,0.0006241547750451904,0.0013814849958147858
2013,Comment/Reply,2788,10,0.003586800573888092,0.0019494703246931478,0.00659021904246921
2013,Conference,211,0,0.0,0.0,0.017880435376768655
2013,Editorial,711,0,0.0,0.0,0.005373861257336069
2013,Guideline,349,0,0.0,0.0,0.01088720932492875
2013,Letter/Correspondence,975,1,0.0010256410256410256,0.0001810737745096152,0.0057866534483768176
2013,Meta-analysis,2343,1,0.0004268032437046522,7.534522603606843e-05,0.002413727394842848
2013,Other/Unclear,476,3,0.0063025210084033615,0.002145693392768778,0.018364120087878494
2013,Research Article,502550,312,0.0006208337478857825,0.0005556784787179381,0.0006936234010531659
2013,Retraction,28,0,0.0,1.3877787807814457e-17,0.12064330476584563
2013,Review,57352,83,0.0014472032361556703,0.001167700634745097,0.0017934878771980818
2014,Case Report,24689,11,0.0004455425493134594,0.00024880999935901645,0.0007977062091457412
2014,Clinical Trial,25486,32,0.0012555913050302126,0.0008895786009382616,0.0017719310412575616
2014,Comment/Reply,2803,11,0.00392436674991081,0.0021927424159980022,0.0070138548214361066
2014,Conference,224,0,0.0,1.734723475976807e-18,0.016860227460697846
2014,Editorial,885,5,0.005649717514124294,0.0024155643044375666,0.01315690779768381
2014,Guideline,328,0,0.0,0.0,0.011576187117625359
2014,Letter/Correspondence,1141,2,0.0017528483786152498,0.00048082593249849275,0.006368558111272637
2014,Meta-analysis,2852,2,0.0007012622720897616,0.0001923324784447759,0.002553428773978605
2014,Other/Unclear,801,8,0.009987515605493134,0.0050693406189566284,0.0195832895397421
2014,Research Article,541526,328,0.000605695756067114,0.0005436137726061278,0.0006748628621129399
2014,Retraction,48,0,0.0,6.938893903907228e-18,0.07410012966611748
2014,Review,67418,103,0.0015277818980094337,0.001260005330277092,0.0018523608448422755
2015,Case Report,22991,9,0.0003914575268583359,0.00020596655309051878,0.0007438751259577125
2015,Clinical Trial,24813,22,0.0008866320074154677,0.0005856170329353805,0.0013421649090204018
2015,Comment/Reply,2641,15,0.005679666792881484,0.003445014137770182,0.009350255199766467
2015,Conference,167,0,0.0,0.0,0.02248551872134217
2015,Editorial,872,3,0.0034403669724770644,0.0011707102052367522,0.010065865457606939
2015,Guideline,264,1,0.003787878787878788,0.0006689668486526516,0.02114042310320195
2015,Letter/Correspondence,1169,1,0.000855431993156544,0.0001510207152245549,0.004829583250266042
2015,Meta-analysis,2708,2,0.0007385524372230429,0.00020256108738497965,0.002689001321320197
2015,Other/Unclear,1632,2,0.0012254901960784314,0.00033613796988423567,0.004457394299647046
2015,Research Article,565445,361,0.000638435214742371,0.0005759031809640495,0.0007077522191391164
2015,Retraction,134,0,0.0,0.0,0.027868675023899322
2015,Review,69856,105,0.0015030920751259735,0.0012419219277742958,0.001819085002033071
2016,Case Report,23685,12,0.000506649778340722,0.0002898586237740642,0.0008854398334802553
2016,Clinical Trial,24401,27,0.0011065120281955657,0.0007606054839881514,0.0016094758344376379
2016,Comment/Reply,2704,5,0.0018491124260355029,0.0007900808876282811,0.004321539948076882
2016,Conference,152,0,0.0,0.0,0.024649787352889047
